INSERT INTO users VALUES('book@gmail.com','管理員','book','09258588211','翰林學園',0);
INSERT INTO product VALUES('1','book1','book1.img','100','hanlin1','learn');
INSERT INTO product VALUES('2','book2','book2.img','200','hanlin2','learn');
INSERT INTO product VALUES('3','book3','book3.img','300','hanlin3','learn');
INSERT INTO product VALUES('4','book4','book4.img','400','hanlin4','learn');
INSERT INTO product VALUES('5','book5','book5.img','500','hanlin5','learn');
INSERT INTO product VALUES('6','book6','book6.img','600','hanlin6','learn');
INSERT INTO product VALUES('7','book7','book7.img','700','hanlin7','learn');
INSERT INTO product VALUES('8','book8','book8.img','800','hanlin8','learn');
INSERT INTO product VALUES('9','book9','book9.img','900','hanlin9','learn');
INSERT INTO product VALUES('10','book10','book10.img','1000','hanlin10','learn');
INSERT INTO product VALUES('11','book11','book11.img','1100','hanlin11','hot');
INSERT INTO product VALUES('12','book12','book12.img','1200','hanlin12','hot');
INSERT INTO product VALUES('13','book13','book13.img','1300','hanlin13','hot');
INSERT INTO product VALUES('14','book14','book14.img','1400','hanlin14','hot');
INSERT INTO product VALUES('15','book15','book15.img','1500','hanlin15','hot');
INSERT INTO product VALUES('16','book16','book16.img','1600','hanlin16','hot');
INSERT INTO product VALUES('17','book17','book17.img','1700','hanlin17','hot');
INSERT INTO product VALUES('18','book18','book18.img','1800','hanlin18','hot');
INSERT INTO product VALUES('19','book19','book19.img','1900','hanlin19','hot');
INSERT INTO product VALUES('20','book20','book20.img','2000','hanlin20','hot');
INSERT INTO product VALUES('21','book21','book21.img','2100','hanlin21','discount');
INSERT INTO product VALUES('22','book22','book22.img','2200','hanlin22','discount');
INSERT INTO product VALUES('23','book23','book23.img','2300','hanlin23','discount');
INSERT INTO product VALUES('24','book24','book24.img','2400','hanlin24','discount');
INSERT INTO product VALUES('25','book25','book25.img','2500','hanlin25','discount');
INSERT INTO product VALUES('26','book26','book26.img','2600','hanlin26','discount');
INSERT INTO product VALUES('27','book27','book27.img','2700','hanlin27','discount');
INSERT INTO product VALUES('28','book28','book28.img','2800','hanlin28','discount');
INSERT INTO product VALUES('29','book29','book29.img','2900','hanlin29','discount');
INSERT INTO product VALUES('30','book30','book30.img','3000','hanlin30','discount');
INSERT INTO product VALUES('31','book31','book31.img','3100','hanlin31','good');
INSERT INTO product VALUES('32','book32','book32.img','3200','hanlin32','good');
INSERT INTO product VALUES('33','book33','book33.img','3300','hanlin33','good');
INSERT INTO product VALUES('34','book34','book34.img','3400','hanlin34','good');
INSERT INTO product VALUES('35','book35','book35.img','3500','hanlin35','good');
INSERT INTO product VALUES('36','book36','book36.img','3600','hanlin36','good');
INSERT INTO product VALUES('37','book37','book37.img','3700','hanlin37','good');
INSERT INTO product VALUES('38','book38','book38.img','3800','hanlin38','good');
INSERT INTO product VALUES('39','book39','book39.img','3900','hanlin39','good');
INSERT INTO product VALUES('40','book40','book40.img','4000','hanlin40','good');
